timestamp,rolling_24h_rainfall_mm_upstream,river_level_upstream_keilor_m,river_level_downstream_maribyrnong_footscray_m,drainage_inlet_flow_Lps_300mm_pipe,drainage_outlet_flow_Lps_300mm_pipe,telecom_reflective_level_estimate_m,scenario_label,blocked_drainage_flag
2022-10-14 00:00:00,10.4,1.13,0.52,55,49.3,0.49,Normal,No
2022-10-14 01:00:00,8.4,1.18,0.52,65.6,53.3,0.53,Normal,No
2022-10-14 02:00:00,12,1.26,0.54,65.7,63.7,0.56,Normal,No
2022-10-14 03:00:00,12.6,1.3,0.57,71.1,57.9,0.64,Normal,No
2022-10-14 04:00:00,7.8,1.34,0.51,66.5,63.1,0.55,Normal,No
2022-10-14 05:00:00,9.3,1.38,0.57,72.2,75.2,0.59,Normal,No
2022-10-14 06:00:00,12.2,1.51,0.58,77.2,67.3,0.65,Normal,No
2022-10-14 07:00:00,11.8,1.5,0.59,73.7,75.9,0.69,Normal,No
2022-10-14 08:00:00,12.7,1.46,0.62,80.5,67.9,0.61,Normal,No
2022-10-14 09:00:00,11.5,1.48,0.71,75.9,74.3,0.69,Normal,No
2022-10-14 10:00:00,15,1.6,0.64,79.8,71.8,0.63,Normal,No
2022-10-14 11:00:00,15.2,1.66,0.73,81.9,77.5,0.68,Normal,No
2022-10-14 12:00:00,14.2,1.64,0.64,79.2,86.7,0.67,Normal,No
2022-10-14 13:00:00,16.5,1.65,0.71,91.4,73.3,0.71,Normal,No
2022-10-14 14:00:00,15.7,1.69,0.75,87.8,88.3,0.7,Normal,No
2022-10-14 15:00:00,13.6,1.8,0.78,92.9,89.1,0.75,Normal,No
2022-10-14 16:00:00,16.2,1.85,0.81,97.8,86.2,0.83,Normal,No
2022-10-14 17:00:00,14.2,1.88,0.83,99.8,83.1,0.87,Normal,No
2022-10-14 18:00:00,17.8,1.86,0.8,103.2,94.3,0.89,Normal,No
2022-10-14 19:00:00,16.5,1.95,0.81,100.8,92.7,0.94,Normal,No
2022-10-14 20:00:00,16.6,1.98,0.88,101,99.3,0.91,Normal,No
2022-10-14 21:00:00,20.4,2.03,0.86,105.2,100.1,0.83,Normal,No
2022-10-14 22:00:00,19.8,2.1,0.83,97.7,111.6,0.76,Normal,No
2022-10-14 23:00:00,17.7,2.11,0.85,101.3,102.6,0.88,Normal,No
